"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENE","GENENAME"
"ENSG00000198763.3",2415.98222911944,10.867137945025,1.5250330019004,7.12583788775918,1.03449418604364e-12,2.10840260057553e-08,"ENSG00000198763","MT-ND2"
"ENSG00000278299.5",88.0646660140737,-24.2724607752479,3.53394675780126,-6.86837194750201,6.49387263601229e-12,4.71260860694889e-08,"ENSG00000278299","TBC1D3C"
"ENSG00000234414.7",89.4198411867785,-24.2391566314307,3.53394477962049,-6.85895172194337,6.93676748974372e-12,4.71260860694889e-08,"ENSG00000234414","RBMY1A1"
"ENSG00000180155.19",1048.13717241179,-3.65691851666127,0.541301977428306,-6.75578266688601,1.42066240181236e-11,6.61097735896134e-08,"ENSG00000180155","LYNX1"
"ENSG00000234456.7",279.030192576111,7.352395563279,1.09927457292354,6.6884068315391,2.25613208655587e-11,6.61097735896134e-08,"ENSG00000234456","MAGI2-AS3"
"ENSG00000198886.2",7834.45902265094,9.78928949042607,1.4637364169532,6.68787725511586,2.26430925056252e-11,6.61097735896134e-08,"ENSG00000198886","MT-ND4"
"ENSG00000080854.14",273.130501697148,-1.98695327549573,0.297115755406235,-6.68747193422659,2.27058738593442e-11,6.61097735896134e-08,"ENSG00000080854","IGSF9B"
"ENSG00000198888.2",1210.01906301513,9.30604771430849,1.40359528079357,6.6301503301201,3.35345166222885e-11,7.13351142689771e-08,"ENSG00000198888","MT-ND1"
"ENSG00000144218.18",1649.3244909433,-2.96707719405429,0.447528061364411,-6.62992435604675,3.35858939645555e-11,7.13351142689771e-08,"ENSG00000144218","AFF3"
"ENSG00000225733.5",522.554945716696,8.07933206362648,1.21973712561114,6.62383057298383,3.5000792046012e-11,7.13351142689771e-08,"ENSG00000225733","FGD5-AS1"
"ENSG00000231074.8",345.401630540749,9.40113670507861,1.4266587964058,6.58961815450409,4.40959190714669e-11,8.14618506717315e-08,"ENSG00000231074","HCG18"
"ENSG00000198727.2",3843.94453013757,9.61392400892451,1.46172152021509,6.57712421686849,4.79634074903478e-11,8.14618506717315e-08,"ENSG00000198727","MT-CYB"
"ENSG00000198899.2",6038.23041565214,9.93725833500785,1.51516109136833,6.5585490490873,5.43338362809945e-11,8.5182916710996e-08,"ENSG00000198899","MT-ATP6"
"ENSG00000163597.14",1444.47475279507,8.23051336925321,1.26945570272432,6.48349788936318,8.96201323635929e-11,1.20760748000829e-07,"ENSG00000163597","SNHG16"
"ENSG00000198786.2",2888.91760321893,9.75600308656768,1.50619039444191,6.47727081686946,9.33964763963599e-11,1.20760748000829e-07,"ENSG00000198786","MT-ND5"
"ENSG00000176903.4",136.597772499651,9.28983508231437,1.43495081767116,6.47397455572117,9.54579833968532e-11,1.20760748000829e-07,"ENSG00000176903","PNMA1"
"ENSG00000226137.5",274.428870456447,9.22778884726597,1.42771265955865,6.46333755289286,1.0241847573111e-10,1.20760748000829e-07,"ENSG00000226137","BAIAP2-AS1"
"ENSG00000244879.6",249.21060006026,8.41556865692551,1.30328307407728,6.45720705218528,1.0665293479294e-10,1.20760748000829e-07,"ENSG00000244879","GABPB1-AS1"
"ENSG00000255248.7",339.295365882949,8.99886876193264,1.39737221465069,6.43985093419232,1.19590896852256e-10,1.28283266776096e-07,"ENSG00000255248","MIR100HG"
"ENSG00000255717.6",343.504260050078,8.76301745930031,1.3702738179794,6.39508494165217,1.60458131374154e-10,1.48664032330057e-07,"ENSG00000255717","SNHG1"
"ENSG00000204650.14",135.790613121744,9.48779870018342,1.48453819509208,6.39107752939621,1.64720832523815e-10,1.48664032330057e-07,"ENSG00000204650","CRHR1-IT1"
"ENSG00000234072.1",155.117338626039,7.3071443485972,1.14348665979804,6.39023139097031,1.65634920141146e-10,1.48664032330057e-07,"ENSG00000234072","AC074117.10"
"ENSG00000198712.1",9714.93459920713,8.39749452819224,1.31561009509853,6.38296601666265,1.73690462205309e-10,1.48664032330057e-07,"ENSG00000198712","MT-CO2"
"ENSG00000263753.6",114.489958001871,9.4804902381352,1.48555998466846,6.38176198603721,1.75061909421588e-10,1.48664032330057e-07,"ENSG00000263753","LINC00667"
"ENSG00000225470.7",211.877344201742,9.11685150667147,1.43130782373276,6.36959524394642,1.89527695690858e-10,1.54510558635015e-07,"ENSG00000225470","JPX"
"ENSG00000247556.6",600.802740258063,8.66039428236421,1.36743311960441,6.33332201641394,2.39938058556547e-10,1.8808375274773e-07,"ENSG00000247556","OIP5-AS1"
"ENSG00000228223.3",165.320790362057,11.5406516712848,1.84682621521274,6.24891046933478,4.1332574607469e-10,3.11999704842528e-07,"ENSG00000228223","HCG11"
"ENSG00000175061.17",1683.48192561419,8.41879484058028,1.34871390317439,6.24209094365042,4.31759777934534e-10,3.14274858360134e-07,"ENSG00000175061","LRRC75A-AS1"
"ENSG00000257621.7",224.289351436854,8.0891967175795,1.30331757648451,6.206619831982,5.41363446229071e-10,3.76488688015518e-07,"ENSG00000257621","PSMA3-AS1"
"ENSG00000212907.2",1024.69973843305,9.63987417041467,1.55408121307906,6.20294106207966,5.54175979611675e-10,3.76488688015518e-07,"ENSG00000212907","MT-ND4L"
"ENSG00000248092.7",134.563298316841,8.25397189827303,1.33726685101439,6.17226987419298,6.73164674709813e-10,4.42573201137442e-07,"ENSG00000248092","NNT-AS1"
"ENSG00000204054.13",151.817939286847,7.95238972439462,1.2915323075396,6.15732930409162,7.39819136233635e-10,4.71195431736804e-07,"ENSG00000204054","LINC00963"
"ENSG00000259623.1",112.184988331751,9.0645580107671,1.47944961978511,6.1269798508473,8.95628089209877e-10,5.4338154454515e-07,"ENSG00000259623","RP11-156E6.1"
"ENSG00000251022.6",121.130736168434,6.7554296089853,1.1029160291229,6.12506249850918,9.06480178329577e-10,5.4338154454515e-07,"ENSG00000251022","THAP9-AS1"
"ENSG00000235217.6",140.341233400798,9.84484385489854,1.61556167545556,6.0937592197602,1.10289510626714e-09,6.42231576023728e-07,"ENSG00000235217","TSPY26P"
"ENSG00000253738.1",106.259188231577,8.10203783539834,1.33481875020342,6.06976627663015,1.28096536753151e-09,7.18213780255225e-07,"ENSG00000253738","OTUD6B-AS1"
"ENSG00000281649.1",165.187908570425,7.38364831522466,1.21703387810706,6.0669209362594,1.30385701729274e-09,7.18213780255225e-07,"ENSG00000281649","EBLN3P"
"ENSG00000230590.9",353.66019254752,7.84324508385963,1.2957347708501,6.05312542374231,1.42062169858553e-09,7.61939232601884e-07,"ENSG00000230590","FTX"
"ENSG00000204623.9",90.4541174762969,8.98456517618174,1.49243098120408,6.02008755469084,1.74322751153043e-09,9.10992818269272e-07,"ENSG00000204623","ZNRD1ASP"
"ENSG00000266340.1",72.9793721090214,7.64811422246353,1.27461170433948,6.00034833857647,1.96894678179253e-09,1.00322760899284e-06,"ENSG00000266340","RP11-848P1.4"
"ENSG00000273373.1",72.6451118519882,9.10758550813223,1.5220149738374,5.98390006976714,2.17857004227179e-09,1.05986943942513e-06,"ENSG00000273373","RP5-1074L1.4"
"ENSG00000124224.16",69.5602427346283,7.03268222402117,1.17534865800115,5.98348598617643,2.18411836788458e-09,1.05986943942513e-06,"ENSG00000124224","PPP4R1L"
"ENSG00000179818.13",92.9388613546064,7.45509976989094,1.25267330729323,5.95135198178678,2.65936466266057e-09,1.26047700441128e-06,"ENSG00000179818","PCBP1-AS1"
"ENSG00000280128.1",122.953376955543,10.0039997233462,1.68753035931713,5.92818948003658,3.06292950231113e-09,1.41876286787734e-06,"ENSG00000280128","XXbac-BPG283O16.9"
"ENSG00000213753.10",94.1369366427588,6.80688324238117,1.15254528613411,5.90595729666547,3.50604791229727e-09,1.58792805556735e-06,"ENSG00000213753","CENPBD1P1"
"ENSG00000198938.2",17843.0249615286,7.81650282401864,1.32812596215716,5.88536256856464,3.97182311115948e-09,1.75977667018568e-06,"ENSG00000198938","MT-CO3"
"ENSG00000267002.2",62.1069534521657,8.97770406215026,1.53192911995053,5.86039128392582,4.61777776826069e-09,2.0024452913813e-06,"ENSG00000267002","RP11-242D8.1"
"ENSG00000274333.4",155.915416115264,8.81858971489987,1.50717109838125,5.85108732802223,4.8836970515886e-09,2.07363811684223e-06,"ENSG00000274333","RP11-717F1.2"
"ENSG00000266714.7",148.668971457485,9.07884312181774,1.56700952680148,5.79373830633251,6.8836692691872e-09,2.86318496684295e-06,"ENSG00000266714","MYO15B"
"ENSG00000245060.6",39.1504086210257,10.3346362351233,1.78613623520777,5.78602910092194,7.20697340968862e-09,2.93770650125727e-06,"ENSG00000245060","LINC00847"
"ENSG00000224078.13",407.556753789691,8.76518871592663,1.51916747973693,5.76973166740277,7.93978572565737e-09,3.17295633087496e-06,"ENSG00000224078","SNHG14"
"ENSG00000260032.1",1958.83762316931,7.33772244486676,1.27674136726737,5.7472269897323,9.07189085956979e-09,3.55565783863254e-06,"ENSG00000260032","NORAD"
"ENSG00000275367.1",151.239459440668,10.0608280216035,1.75372337282186,5.73683864714359,9.64600720458977e-09,3.70934477050461e-06,"ENSG00000275367","RP11-266K4.14"
"ENSG00000268205.1",112.153752357451,8.41663354821331,1.46979130867658,5.7264140143758,1.02575714720322e-08,3.85351848590688e-06,"ENSG00000268205","CTC-444N24.11"
"ENSG00000264112.1",173.943745574817,8.45092178515797,1.4770066073037,5.72165469224628,1.05491545809144e-08,3.85351848590688e-06,"ENSG00000264112","RP11-159D12.2"
"ENSG00000278970.1",47.9964915419714,9.24788878298766,1.61647327426375,5.7210279503073,1.05881475497172e-08,3.85351848590688e-06,"ENSG00000278970","HEIH"
"ENSG00000215158.9",215.790045481876,7.99825528370095,1.39964319254095,5.71449589890169,1.10029702328317e-08,3.93423747921654e-06,"ENSG00000215158","RP11-1023L17.1"
"ENSG00000281501.1",61.5930994783746,8.71871031067755,1.52694675042797,5.70989807485681,1.1304385305426e-08,3.97232201568772e-06,"ENSG00000281501","SEPSECS-AS1"
"ENSG00000157326.18",316.978394961899,-2.37935008956185,0.417025734631131,-5.70552340532758,1.15986117525242e-08,4.00663230725756e-06,"ENSG00000157326","DHRS4"
"ENSG00000186329.9",105.110377467518,7.43304807457975,1.30490515054371,5.69623629080064,1.22481099551451e-08,4.13478135844549e-06,"ENSG00000186329","TMEM212"
"ENSG00000281392.1",518.395489349329,6.70962114846524,1.17826895730728,5.69447332619103,1.23753330486814e-08,4.13478135844549e-06,"ENSG00000281392","LINC00506"
"ENSG00000174365.19",43.7638958822754,9.3233997339897,1.64166953539014,5.67921834023313,1.3531166520258e-08,4.44804362660288e-06,"ENSG00000174365","SNHG11"
"ENSG00000184319.15",68.5046879773401,6.59495882563157,1.16265176031554,5.67234235627158,1.40858121744995e-08,4.55687203061071e-06,"ENSG00000184319","RPL23AP82"
"ENSG00000273270.1",114.124938549792,9.11580405758117,1.61625784387598,5.64006794591659,1.699830749979e-08,5.37676098874445e-06,"ENSG00000273270","RP11-212P7.2"
"ENSG00000232677.6",80.0749056416732,8.99209189767361,1.59474970582391,5.63855999774456,1.71478074809082e-08,5.37676098874445e-06,"ENSG00000232677","LINC00665"
"ENSG00000198804.2",19815.2072077499,7.27398877957874,1.29123284673416,5.6333672102413,1.76724603384824e-08,5.44162244705656e-06,"ENSG00000198804","MT-CO1"
"ENSG00000088340.15",63.4246095454105,8.68764347905739,1.54275007308285,5.63127082645152,1.78886562952156e-08,5.44162244705656e-06,"ENSG00000088340","FER1L4"
"ENSG00000177410.12",260.814442008492,8.00343782902412,1.42251899592231,5.62624320094577,1.84176633914166e-08,5.52015290559502e-06,"ENSG00000177410","ZFAS1"
"ENSG00000129824.15",967.629038365032,-9.96444995114129,1.77376446388908,-5.61768495986985,1.93532956507888e-08,5.71651476316995e-06,"ENSG00000129824","RPS4Y1"
